"","_id","CIVIC_CENTRE","DEATH_LICENSES","PLACE_OF_DEATH","TIME_PERIOD"
"1",23668,"ET",69,"Outside City Limits","2011-01"
"2",23669,"ET",341,"Toronto","2011-01"
"3",23670,"NY",141,"Outside City Limits","2011-01"
"4",23671,"NY",540,"Toronto","2011-01"
"5",23672,"SC",129,"Outside City Limits","2011-01"
"6",23673,"SC",545,"Toronto","2011-01"
"7",23674,"TO",297,"Toronto","2011-01"
"8",23675,"ET",83,"Outside City Limits","2011-02"
"9",23676,"ET",224,"Toronto","2011-02"
"10",23677,"NY",81,"Outside City Limits","2011-02"
"11",23678,"NY",307,"Toronto","2011-02"
"12",23679,"SC",68,"Outside City Limits","2011-02"
"13",23680,"SC",339,"Toronto","2011-02"
"14",23681,"TO",223,"Toronto","2011-02"
"15",23682,"ET",116,"Outside City Limits","2011-03"
"16",23683,"ET",233,"Toronto","2011-03"
"17",23684,"NY",118,"Outside City Limits","2011-03"
"18",23685,"NY",537,"Toronto","2011-03"
"19",23686,"SC",117,"Outside City Limits","2011-03"
"20",23687,"SC",283,"Toronto","2011-03"
"21",23688,"TO",185,"Toronto","2011-03"
"22",23689,"ET",83,"Outside City Limits","2011-04"
"23",23690,"ET",290,"Toronto","2011-04"
"24",23691,"NY",87,"Outside City Limits","2011-04"
"25",23692,"NY",553,"Toronto","2011-04"
"26",23693,"SC",85,"Outside City Limits","2011-04"
"27",23694,"SC",372,"Toronto","2011-04"
"28",23695,"TO",42,"Toronto","2011-04"
"29",23696,"ET",57,"Outside City Limits","2011-05"
"30",23697,"ET",176,"Toronto","2011-05"
"31",23698,"NY",92,"Outside City Limits","2011-05"
"32",23699,"NY",480,"Toronto","2011-05"
"33",23700,"SC",51,"Outside City Limits","2011-05"
"34",23701,"SC",253,"Toronto","2011-05"
"35",23702,"ET",30,"Outside City Limits","2011-06"
"36",23703,"ET",239,"Toronto","2011-06"
"37",23704,"NY",107,"Outside City Limits","2011-06"
"38",23705,"NY",479,"Toronto","2011-06"
"39",23706,"SC",84,"Outside City Limits","2011-06"
"40",23707,"SC",518,"Toronto","2011-06"
"41",23708,"ET",40,"Outside City Limits","2011-07"
"42",23709,"ET",317,"Toronto","2011-07"
"43",23710,"NY",50,"Outside City Limits","2011-07"
"44",23711,"NY",315,"Toronto","2011-07"
"45",23712,"SC",43,"Outside City Limits","2011-07"
"46",23713,"SC",312,"Toronto","2011-07"
"47",23714,"TO",13,"Outside City Limits","2011-07"
"48",23715,"TO",51,"Toronto","2011-07"
"49",23716,"ET",169,"Outside City Limits","2011-08"
"50",23717,"ET",165,"Toronto","2011-08"
"51",23718,"NY",117,"Outside City Limits","2011-08"
"52",23719,"NY",389,"Toronto","2011-08"
"53",23720,"SC",93,"Outside City Limits","2011-08"
"54",23721,"SC",320,"Toronto","2011-08"
"55",23722,"TO",4,"Outside City Limits","2011-08"
"56",23723,"TO",273,"Toronto","2011-08"
"57",23724,"ET",74,"Outside City Limits","2011-09"
"58",23725,"ET",176,"Toronto","2011-09"
"59",23726,"NY",133,"Outside City Limits","2011-09"
"60",23727,"NY",610,"Toronto","2011-09"
"61",23728,"SC",58,"Outside City Limits","2011-09"
"62",23729,"SC",394,"Toronto","2011-09"
"63",23730,"ET",85,"Outside City Limits","2011-10"
"64",23731,"ET",245,"Toronto","2011-10"
"65",23732,"NY",123,"Outside City Limits","2011-10"
"66",23733,"NY",498,"Toronto","2011-10"
"67",23734,"SC",57,"Outside City Limits","2011-10"
"68",23735,"SC",492,"Toronto","2011-10"
"69",23736,"TO",5,"Toronto","2011-10"
"70",23737,"ET",70,"Outside City Limits","2011-11"
"71",23738,"ET",250,"Toronto","2011-11"
"72",23739,"NY",104,"Outside City Limits","2011-11"
"73",23740,"NY",458,"Toronto","2011-11"
"74",23741,"SC",73,"Outside City Limits","2011-11"
"75",23742,"SC",378,"Toronto","2011-11"
"76",23743,"ET",68,"Outside City Limits","2011-12"
"77",23744,"ET",174,"Toronto","2011-12"
"78",23745,"NY",110,"Outside City Limits","2011-12"
"79",23746,"NY",420,"Toronto","2011-12"
"80",23747,"SC",94,"Outside City Limits","2011-12"
"81",23748,"SC",456,"Toronto","2011-12"
"82",23749,"ET",127,"Outside City Limits","2012-01"
"83",23750,"ET",396,"Toronto","2012-01"
"84",23751,"NY",81,"Outside City Limits","2012-01"
"85",23752,"NY",424,"Toronto","2012-01"
"86",23753,"SC",47,"Outside City Limits","2012-01"
"87",23754,"SC",432,"Toronto","2012-01"
"88",23755,"TO",97,"Toronto","2012-01"
"89",23756,"ET",58,"Outside City Limits","2012-02"
"90",23757,"ET",362,"Toronto","2012-02"
"91",23758,"NY",62,"Outside City Limits","2012-02"
"92",23759,"NY",304,"Toronto","2012-02"
"93",23760,"SC",137,"Outside City Limits","2012-02"
"94",23761,"SC",508,"Toronto","2012-02"
"95",23762,"TO",12,"Toronto","2012-02"
"96",23763,"ET",179,"Outside City Limits","2012-03"
"97",23764,"ET",493,"Toronto","2012-03"
"98",23765,"NY",39,"Outside City Limits","2012-03"
"99",23766,"NY",271,"Toronto","2012-03"
"100",23767,"SC",75,"Outside City Limits","2012-03"
"101",23768,"SC",432,"Toronto","2012-03"
"102",23769,"ET",188,"Outside City Limits","2012-04"
"103",23770,"ET",452,"Toronto","2012-04"
"104",23771,"NY",14,"Outside City Limits","2012-04"
"105",23772,"NY",214,"Toronto","2012-04"
"106",23773,"SC",23,"Outside City Limits","2012-04"
"107",23774,"SC",254,"Toronto","2012-04"
"108",23775,"ET",137,"Outside City Limits","2012-05"
"109",23776,"ET",658,"Toronto","2012-05"
"110",23777,"NY",23,"Outside City Limits","2012-05"
"111",23778,"NY",245,"Toronto","2012-05"
"112",23779,"SC",67,"Outside City Limits","2012-05"
"113",23780,"SC",359,"Toronto","2012-05"
"114",23781,"ET",172,"Outside City Limits","2012-06"
"115",23782,"ET",521,"Toronto","2012-06"
"116",23783,"NY",55,"Outside City Limits","2012-06"
"117",23784,"NY",138,"Toronto","2012-06"
"118",23785,"SC",117,"Outside City Limits","2012-06"
"119",23786,"SC",561,"Toronto","2012-06"
"120",23787,"ET",105,"Outside City Limits","2012-07"
"121",23788,"ET",264,"Toronto","2012-07"
"122",23789,"NY",70,"Outside City Limits","2012-07"
"123",23790,"NY",387,"Toronto","2012-07"
"124",23791,"SC",52,"Outside City Limits","2012-07"
"125",23792,"SC",293,"Toronto","2012-07"
"126",23793,"ET",99,"Outside City Limits","2012-08"
"127",23794,"ET",437,"Toronto","2012-08"
"128",23795,"NY",77,"Outside City Limits","2012-08"
"129",23796,"NY",286,"Toronto","2012-08"
"130",23797,"SC",46,"Outside City Limits","2012-08"
"131",23798,"SC",142,"Toronto","2012-08"
"132",23799,"ET",106,"Outside City Limits","2012-09"
"133",23800,"ET",425,"Toronto","2012-09"
"134",23801,"NY",84,"Outside City Limits","2012-09"
"135",23802,"NY",380,"Toronto","2012-09"
"136",23803,"SC",115,"Outside City Limits","2012-09"
"137",23804,"SC",590,"Toronto","2012-09"
"138",23805,"ET",103,"Outside City Limits","2012-10"
"139",23806,"ET",451,"Toronto","2012-10"
"140",23807,"NY",107,"Outside City Limits","2012-10"
"141",23808,"NY",377,"Toronto","2012-10"
"142",23809,"SC",84,"Outside City Limits","2012-10"
"143",23810,"SC",473,"Toronto","2012-10"
"144",23811,"ET",85,"Outside City Limits","2012-11"
"145",23812,"ET",293,"Toronto","2012-11"
"146",23813,"NY",88,"Outside City Limits","2012-11"
"147",23814,"NY",314,"Toronto","2012-11"
"148",23815,"SC",79,"Outside City Limits","2012-11"
"149",23816,"SC",434,"Toronto","2012-11"
"150",23817,"ET",82,"Outside City Limits","2012-12"
"151",23818,"ET",636,"Toronto","2012-12"
"152",23819,"NY",73,"Outside City Limits","2012-12"
"153",23820,"NY",311,"Toronto","2012-12"
"154",23821,"SC",36,"Outside City Limits","2012-12"
"155",23822,"SC",281,"Toronto","2012-12"
"156",23823,"ET",283,"Outside City Limits","2013-01"
"157",23824,"ET",631,"Toronto","2013-01"
"158",23825,"NY",117,"Outside City Limits","2013-01"
"159",23826,"NY",418,"Toronto","2013-01"
"160",23827,"SC",78,"Outside City Limits","2013-01"
"161",23828,"SC",582,"Toronto","2013-01"
"162",23829,"ET",103,"Outside City Limits","2013-02"
"163",23830,"ET",434,"Toronto","2013-02"
"164",23831,"NY",54,"Outside City Limits","2013-02"
"165",23832,"NY",243,"Toronto","2013-02"
"166",23833,"SC",59,"Outside City Limits","2013-02"
"167",23834,"SC",420,"Toronto","2013-02"
"168",23835,"ET",94,"Outside City Limits","2013-03"
"169",23836,"ET",312,"Toronto","2013-03"
"170",23837,"NY",80,"Outside City Limits","2013-03"
"171",23838,"NY",234,"Toronto","2013-03"
"172",23839,"SC",95,"Outside City Limits","2013-03"
"173",23840,"SC",416,"Toronto","2013-03"
"174",23841,"ET",163,"Outside City Limits","2013-04"
"175",23842,"ET",669,"Toronto","2013-04"
"176",23843,"NY",47,"Outside City Limits","2013-04"
"177",23844,"NY",226,"Toronto","2013-04"
"178",23845,"SC",76,"Outside City Limits","2013-04"
"179",23846,"SC",501,"Toronto","2013-04"
"180",23847,"ET",82,"Outside City Limits","2013-05"
"181",23848,"ET",435,"Toronto","2013-05"
"182",23849,"NY",81,"Outside City Limits","2013-05"
"183",23850,"NY",276,"Toronto","2013-05"
"184",23851,"SC",86,"Outside City Limits","2013-05"
"185",23852,"SC",432,"Toronto","2013-05"
"186",23853,"ET",93,"Outside City Limits","2013-06"
"187",23854,"ET",506,"Toronto","2013-06"
"188",23855,"NY",66,"Outside City Limits","2013-06"
"189",23856,"NY",236,"Toronto","2013-06"
"190",23857,"SC",54,"Outside City Limits","2013-06"
"191",23858,"SC",255,"Toronto","2013-06"
"192",23859,"ET",193,"Outside City Limits","2013-07"
"193",23860,"ET",732,"Toronto","2013-07"
"194",23861,"NY",55,"Outside City Limits","2013-07"
"195",23862,"NY",276,"Toronto","2013-07"
"196",23863,"SC",58,"Outside City Limits","2013-07"
"197",23864,"SC",346,"Toronto","2013-07"
"198",23865,"ET",116,"Outside City Limits","2013-08"
"199",23866,"ET",379,"Toronto","2013-08"
"200",23867,"NY",83,"Outside City Limits","2013-08"
"201",23868,"NY",290,"Toronto","2013-08"
"202",23869,"SC",33,"Outside City Limits","2013-08"
"203",23870,"SC",217,"Toronto","2013-08"
"204",23871,"ET",150,"Outside City Limits","2013-09"
"205",23872,"ET",449,"Toronto","2013-09"
"206",23873,"NY",109,"Outside City Limits","2013-09"
"207",23874,"NY",487,"Toronto","2013-09"
"208",23875,"SC",83,"Outside City Limits","2013-09"
"209",23876,"SC",338,"Toronto","2013-09"
"210",23877,"ET",111,"Outside City Limits","2013-10"
"211",23878,"ET",414,"Toronto","2013-10"
"212",23879,"NY",98,"Outside City Limits","2013-10"
"213",23880,"NY",390,"Toronto","2013-10"
"214",23881,"SC",82,"Outside City Limits","2013-10"
"215",23882,"SC",433,"Toronto","2013-10"
"216",23883,"ET",99,"Outside City Limits","2013-11"
"217",23884,"ET",338,"Toronto","2013-11"
"218",23885,"NY",60,"Outside City Limits","2013-11"
"219",23886,"NY",277,"Toronto","2013-11"
"220",23887,"SC",86,"Outside City Limits","2013-11"
"221",23888,"SC",398,"Toronto","2013-11"
"222",23889,"ET",66,"Outside City Limits","2013-12"
"223",23890,"ET",432,"Toronto","2013-12"
"224",23891,"NY",95,"Outside City Limits","2013-12"
"225",23892,"NY",331,"Toronto","2013-12"
"226",23893,"SC",81,"Outside City Limits","2013-12"
"227",23894,"SC",318,"Toronto","2013-12"
"228",23895,"ET",215,"Outside City Limits","2014-01"
"229",23896,"ET",569,"Toronto","2014-01"
"230",23897,"NY",149,"Outside City Limits","2014-01"
"231",23898,"NY",503,"Toronto","2014-01"
"232",23899,"SC",104,"Outside City Limits","2014-01"
"233",23900,"SC",555,"Toronto","2014-01"
"234",23901,"ET",136,"Outside City Limits","2014-02"
"235",23902,"ET",379,"Toronto","2014-02"
"236",23903,"NY",93,"Outside City Limits","2014-02"
"237",23904,"NY",381,"Toronto","2014-02"
