,CIVIC_CENTRE,DEATH,YEAR
1,Etobicoke,3774,2011
2,Etobicoke,6829,2012
3,Etobicoke,7284,2013
4,Etobicoke,5825,2014
5,Etobicoke,6138,2015
6,Etobicoke,6231,2016
7,Etobicoke,6318,2017
8,Etobicoke,6562,2018
9,Etobicoke,6297,2019
10,Etobicoke,7984,2020
11,Etobicoke,18069,2021
12,Etobicoke,1673,2022
13,Scarborough,5614,2011
14,Scarborough,5637,2012
15,Scarborough,5527,2013
16,Scarborough,6053,2014
17,Scarborough,6265,2015
18,Scarborough,6946,2016
19,Scarborough,6891,2017
20,Scarborough,7634,2018
21,Scarborough,7492,2019
22,Scarborough,4590,2020
23,Scarborough,0,2021
24,Scarborough,0,2022
25,Toronto,1093,2011
26,Toronto,109,2012
27,Toronto,0,2013
28,Toronto,0,2014
29,Toronto,0,2015
30,Toronto,0,2016
31,Toronto,0,2017
32,Toronto,0,2018
33,Toronto,217,2019
34,Toronto,3309,2020
35,Toronto,14,2021
36,Toronto,0,2022
37,North York,6849,2011
38,North York,4424,2012
39,North York,4629,2013
40,North York,6222,2014
41,North York,5271,2015
42,North York,4523,2016
43,North York,4562,2017
44,North York,4486,2018
45,North York,4655,2019
46,North York,2386,2020
47,North York,7,2021
48,North York,0,2022
